Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
Administração Regional de Samambaia;9114;200378;Material;16;Material de Expediente;Outros;Material;30.16.00.001;Material de uso administrativo;;;3.3.90.30.16.00.001.8691;Caneta marca texto, material corpo: plástico, cor: amarela;un;120,0000;0,0000;66,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200379;Material;16;Material de Expediente;Outros;Material;30.16.00.001;Material de uso administrativo;;;3.3.90.30.16.00.001.8692;Caneta marca texto, material corpo: plástico, cor: verde;un;120,0000;0,0000;63,6000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200380;Material;16;Material de Expediente;Outros;Material;30.16.00.001;Material de uso administrativo;;;3.3.90.30.16.00.001.8693;Caneta marca texto, material corpo: plástico, cor: rosa;un;120,0000;0,0000;63,6000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200381;Material;16;Material de Expediente;Outros;Material;30.16.00.001;Material de uso administrativo;;;3.3.90.30.16.00.001.8694;Caneta marca texto, material corpo: plástico, cor: laranja;un;120,0000;0,0000;63,6000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200382;Material;16;Material de Expediente;Outros;Material;30.16.00.001;Material de uso administrativo;;;3.3.90.30.16.00.001.8696;Lápis preto, material corpo: madeira, material carga: grafite ultra resistente hb nº 02;un;10,0000;12,0000;120,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200383;Material;16;Material de Expediente;Outros;Material;30.16.00.001;Material de uso administrativo;;;3.3.90.30.16.00.001.8702;Caneta esferográfica, material corpo: caneta esferográfica , tampa ventilada, corpo sextavado, ponta em esfera de tungstênio, cor: preta.;un;240,0000;0,0000;117,6000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200384;Material;16;Material de Expediente;Outros;Material;30.16.00.001;Material de uso administrativo;;;3.3.90.30.16.00.001.8703;Caneta esferográfica, material corpo: caneta esferográfica , tampa ventilada, corpo sextavado, ponta em esfera de tungstênio, cor: vermelha.;un;120,0000;0,0000;62,4000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200385;Material;16;Material de Expediente;Outros;Material;30.16.00.001;Material de uso administrativo;;;3.3.90.30.16.00.001.8704;Caneta esferográfica, material corpo: caneta esferográfica , tampa ventilada, corpo sextavado, ponta em esfera de tungstênio, cor: azul.;un;360,0000;0,0000;165,6000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200386;Material;16;Material de Expediente;Outros;Material;30.16.00.001;Material de uso administrativo;;;3.3.90.30.16.00.001.8751;Pincel , tipo: marcador para quadro branco, corpo plástico, recarregável, ponta redonda de no mínimo 4 mm, tamanho: mínimo de 10cm, cor: preta;un;60,0000;22,0000;1374,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200387;Material;16;Material de Expediente;Outros;Material;30.16.00.001;Material de uso administrativo;;;3.3.90.30.16.00.001.8791;Estilete, material: corpo em polipropileno, cor: a escolher, tipo lâmina: em aço, características adicionais: lâmina larga de 18mm e com trava de segurança.;un;60,0000;1,0000;117,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200388;Material;01;Combustíveis e Lubrificantes Automotivos;Outros;Material;30.01.00.002;Lubrificantes automotivos;;;3.3.90.30.01.00.002.8819;Óleo lubrificante multiviscoso motores gasolina e a álcool,nível desempenho: api sn/sm ou superior, grau viscosidade: sae 10w/40, características adicionais: semisintético.;l;15,0000;60,0000;900,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200389;Material;01;Combustíveis e Lubrificantes Automotivos;Outros;Material;30.01.00.002;Lubrificantes automotivos;;;3.3.90.30.01.00.002.8865;Óleo lubrificante multiviscoso motor diesel,nível desempenho: api cf ou superior, grau viscosidade: sae 15w40, aplicação: motores à diesel de alta potência, superalimentados ou turboalimentados, que operam em condições severas.;l;10,0000;60,0000;600,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200390;Material;01;Combustíveis e Lubrificantes Automotivos;Outros;Material;30.01.00.002;Lubrificantes automotivos;;;3.3.90.30.01.00.002.8915;Óleo lubrificante sistema transmissão câmbio e diferencial,grau viscosidade: sae 90, nível desempenho: api - gl-5 ou superior, unidade de fornecimento: frasco com 1 litro;fr;10,0000;18,0000;180,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200391;Material;01;Combustíveis e Lubrificantes Automotivos;Outros;Material;30.01.00.002;Lubrificantes automotivos;;;3.3.90.30.01.00.002.8941;Óleo lubrificante sintético motores gasolina e a álcool,nível desempenho: api - sl/sm/sn ou superior, grau viscosidade: sae 5w30.;l;25,0000;18,0000;450,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200392;Material;01;Combustíveis e Lubrificantes Automotivos;Outros;Material;30.01.00.002;Lubrificantes automotivos;;;3.3.90.30.01.00.002.8948;Óleo lubrificante motor quatro tempos,combustível: diesel, nível desempenho: api cf ou superior, grau de viscosidade: 15w40, unidade de fornecimento: balde de 20 litros.;bde;13,0000;60,0000;780,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200393;Material;01;Combustíveis e Lubrificantes Automotivos;Outros;Material;30.01.00.003;Graxas;;;3.3.90.30.01.00.003.8951;Graxa lubrificante múltiplas aplicações automotivas, composição: à base de sabão de cálcio, grau viscosidade: sae nl gi-2, aplicação: múltiplas aplicações automotivas, unidade de fornecimento: tambor de 170 quilogramas;tbr;1,0000;2400,0000;2400,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200394;Material;04;Gás Engarrafado;Outros;Material;30.04.00.001;Gás Liquefeito de Petróleo;;;3.3.90.30.04.00.001.43316;GÁS LIQUEFEIRO DE PETRÓLEO - GLP, Descrição: gás propano e butano, unidade de fornecimento: botijão com 13 kg.;bot;45,0000;90,0000;4050,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200395;Material;04;Gás Engarrafado;Outros;Material;30.04.00.001;Gás Liquefeito de Petróleo;;;3.3.90.30.04.00.001.43317;GÁS LIQUEFEIRO DE PETRÓLEO - GLP, Descrição: gás propano e butano, unidade de fornecimento: cilindro com 45 kg.;cil;7,0000;200,0000;1400,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200396;Material;07;Gêneros de Alimentação;Outros;Material;30.07.00.001;Águas minerais, Gelo, refrigerantes, sucos e café;;;3.3.90.30.07.00.001.9275;Café torrado e moído,marcas de referência: *, características: do tipo arábica,grãos selecionados,embalado a vácuo e de primeira qualidade, unidade de fornecimento: pacote de 500 gramas.;pct;400,0000;25,0000;10000,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200397;Material;14;Material Educativo e Esportivo para Estoque no Órgão;Outros;Material;30.14.00.002;Material e utensílio para atividades esportivas;;;3.3.90.30.14.00.002.9297;Colchonete ginástica, material: espuma interna em poliuretano, características mínimas: d28,capa externa de couro ou corino, medidas: 90 x 40 x 03 cm, cor: preto.;un;15,0000;16,0000;240,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200398;Material;14;Material Educativo e Esportivo para Estoque no Órgão;Outros;Material;30.14.00.002;Material e utensílio para atividades esportivas;;;3.3.90.30.14.00.002.9299;Rede futsal, material: nylon, tamanho: oficial, fio: 4 mm, medidas: 3,20 x 2,10.;un;13,0000;150,0000;1950,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200399;Material;14;Material Educativo e Esportivo para Estoque no Órgão;Outros;Material;30.14.00.002;Material e utensílio para atividades esportivas;;;3.3.90.30.14.00.002.9307;Bola futebol campo, material: couro pu, tamanho: oficial, nº4, cor: branca, características adicionais: com válvula removível e lubrificada, categoria: infantil, peso: 360g a 390g, circunferência: 64 à 67;un;20,0000;40,0000;800,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;200400;Material;14;Material Educativo e Esportivo para Estoque no Órgão;Outros;Material;30.14.00.002;Material e utensílio para atividades esportivas;;;3.3.90.30.14.00.002.9309;Bola handebol, material: confeccionada em pu, gênero: feminino, tamanho: entre 54-56 cm de diâmetro, características técnicas mínimas: costurada, com 32 gomos.;un;12,0000;43,0000;522,0000;0,0000;02/09/2026
